title,id,function,distName1
799 9,2BE88E75-8292-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Heaton Mersey Park
823 1,2BE88E87-A6ED-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Crowcroft Park
830 1,2BE88E75-6C07-7FED-E063-AAEFA00A0EDD,Playing Field,Thornfield Park
830 4,2BE88E75-6C07-7FED-E063-AAEFA00A0EDD,Playing Field,Thornfield Park
875 4,2BE88DF6-A1F6-7FED-E063-AAEFA00A0EDD,Playing Field,
876 3,2BE88DF6-A193-7FED-E063-AAEFA00A0EDD,Playing Field,
876 3,2BE88DD4-682F-7FED-E063-AAEFA00A0EDD,Other Sports Facility,
908 1,2BE88E2D-3690-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Brookdale Park
908 2,2BE88E2D-3690-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Brookdale Park
908 3,2BE88E2D-3690-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Brookdale Park
908 4,2BE88E2D-3690-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Brookdale Park
908 5,2BE88E2D-3690-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Brookdale Park
908 6,2BE88E2D-3690-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Brookdale Park
908 9,2BE88E2D-3690-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Brookdale Park
917 1,2BE88E87-A807-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Sunny Brow Park
917 7,2BE88E75-BDD8-7FED-E063-AAEFA00A0EDD,Religious Grounds,Brookfield Church
917 8,2BE88E87-A807-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Sunny Brow Park
917 9,2BE88E87-A807-7FED-E063-AAEFA00A0EDD,Public Park Or Garden,Sunny Brow Park
922 7,2BE88E76-1D45-7FED-E063-AAEFA00A0EDD,Golf Course,Houldsworth Golf Course
922 8,2BE88E76-1D7E-7FED-E063-AAEFA00A0EDD,Playing Field,
948 2,2BE88E87-A80A-7FED-E063-AAEFA00A0EDD,Bowling Green,
971 2,2BE88DF6-A74B-7FED-E063-AAEFA00A0EDD,Cemetery,Failsworth Cemetery
971 4,2BE88DF6-A74B-7FED-E063-AAEFA00A0EDD,Cemetery,Failsworth Cemetery
971 9,2BE88DF6-A74B-7FED-E063-AAEFA00A0EDD,Cemetery,Failsworth Cemetery
982 2,2BE88E87-A816-7FED-E063-AAEFA00A0EDD,Playing Field,
982 4,2BE88E87-A816-7FED-E063-AAEFA00A0EDD,Playing Field,
